발역코드,발역명,착역코드,착역명,거리(km),수도권내,수도권외,공항철도,T2,운임(Card),서울전용정기권,정기권구간
4307,강남,1001,서울역,11.5,11.5,,,0,"1,350",N,9단계
4307,강남,1014,청량리(지상),11.0,11.0,,,0,"1,350",N,9단계
4307,강남,1015,회기,12.4,12.4,,,0,"1,350",N,9단계
4307,강남,1201,중랑,14.2,14.2,,,0,"1,350",N,9단계
4307,강남,1202,상봉,13.8,13.8,,,0,"1,350",N,9단계
4307,강남,1203,망우,14.4,14.4,,,0,"1,350",N,9단계
4307,강남,1204,양원,16.1,16.1,,,0,"1,450",N,9단계
4307,강남,1205,구리,19.3,19.3,,,0,"1,450",N,9단계
4307,강남,1206,도농,21.0,21.0,,,0,"1,550",N,9단계
4307,강남,1207,양정,24.7,24.7,,,0,"1,550",N,9단계
4307,강남,1208,덕소,27.0,27.0,,,0,"1,650",N,9단계
4307,강남,1209,도심,28.5,28.5,,,0,"1,650",N,9단계
4307,강남,1210,팔당,32.7,32.7,,,0,"1,750",N,9단계
4307,강남,1211,운길산,39.1,39.1,,,0,"1,850",N,9단계
4307,강남,1212,양수,41.0,41.0,,,0,"1,950",N,9단계
4307,강남,1213,신원,45.7,45.7,,,0,"2,050",N,9단계
4307,강남,1214,국수,48.6,48.6,,,0,"2,050",N,9단계
4307,강남,1215,아신,52.7,52.7,,,0,"2,150",N,9단계
4307,강남,1216,오빈,55.5,55.5,,,0,"2,150",N,9단계
4307,강남,1217,양평(중앙선),57.7,57.7,,,0,"2,150",N,9단계
4307,강남,1218,원덕,63.5,63.5,,,0,"2,250",N,9단계
4307,강남,1219,용문,68.3,68.3,,,0,"2,350",N,10단계
4307,강남,1220,지평,71.9,71.9,,,0,"2,350",N,10단계
4307,강남,1009,서빙고,9.5,9.5,,,0,"1,250",N,9단계
4307,강남,1010,한남,7.6,7.6,,,0,"1,250",N,9단계
4307,강남,1011,옥수,6.0,6.0,,,0,"1,250",N,9단계
4307,강남,1012,응봉,7.8,7.8,,,0,"1,250",N,9단계
4307,강남,1013,왕십리,8.6,8.6,,,0,"1,250",N,9단계
4307,강남,1016,외대앞,13.2,13.2,,,0,"1,350",N,9단계
4307,강남,1017,신이문,14.0,14.0,,,0,"1,350",N,9단계
4307,강남,1018,석계,15.4,15.4,,,0,"1,450",N,9단계
4307,강남,1019,광운대,16.5,16.5,,,0,"1,450",N,9단계
4307,강남,1020,월계,17.6,17.6,,,0,"1,450",N,9단계
4307,강남,1021,녹천,19.0,19.0,,,0,"1,450",N,9단계
4307,강남,1022,창동,20.0,20.0,,,0,"1,450",N,9단계
4307,강남,1901,방학,21.7,21.7,,,0,"1,550",N,9단계
4307,강남,1902,도봉,23.0,23.0,,,0,"1,550",N,9단계
4307,강남,1903,도봉산,24.2,24.2,,,0,"1,550",N,9단계
4307,강남,1904,망월사,26.5,26.5,,,0,"1,650",N,9단계
4307,강남,1905,회룡,27.9,27.9,,,0,"1,650",N,9단계
4307,강남,1906,의정부,29.5,29.5,,,0,"1,650",N,9단계
4307,강남,1907,가능,30.7,30.7,,,0,"1,750",N,9단계
4307,강남,1908,녹양,32.0,32.0,,,0,"1,750",N,9단계
4307,강남,1909,양주,33.6,33.6,,,0,"1,750",N,9단계
4307,강남,1910,덕계,38.9,38.9,,,0,"1,850",N,9단계
4307,강남,1911,덕정,41.8,41.8,,,0,"1,950",N,9단계
4307,강남,1912,지행,47.4,47.4,,,0,"2,050",N,9단계
4307,강남,1913,동두천중앙,48.4,48.4,,,0,"2,050",N,9단계
4307,강남,1914,보산,49.8,49.8,,,0,"2,050",N,9단계
4307,강남,1915,동두천,51.4,51.4,,,0,"2,150",N,9단계
4307,강남,1916,소요산,53.9,53.9,,,0,"2,150",N,9단계
4307,강남,1847,서울숲,6.4,6.4,,,0,"1,250",N,9단계
4307,강남,1848,압구정로데오,4.5,4.5,,,0,"1,250",N,9단계
4307,강남,1849,강남구청,3.3,3.3,,,0,"1,250",N,9단계
4307,강남,1850,선정릉,2.6,2.6,,,0,"1,250",N,9단계
4307,강남,1854,야탑,17.4,17.4,,,0,"1,450",N,9단계
4307,강남,1860,이매,15.7,15.7,,,0,"1,450",N,9단계
4307,강남,1855,서현,17.1,17.1,,,0,"1,450",N,9단계
4307,강남,1856,수내,18.2,18.2,,,0,"1,450",N,9단계
4307,강남,1857,정자,17.3,17.3,,,0,"1,450",N,9단계
4307,강남,1858,미금,19.1,19.1,,,0,"1,450",N,9단계
4307,강남,1859,오리,20.2,20.2,,,0,"1,550",N,9단계
